Initial.Name,bill,vote,District,Party
P. Clark,HB74,YEA,S37,Democratic
R. Jones II,HB74,YEA,S31,Democratic
A. Robinson,HB74,YEA,S21,Republican
S. West,HB74,YEA,S27,Republican
C. Embry Jr.,HB74,YEA,S6,Republican
A. Kerr,HB74,YEA,S12,Republican
J. Schickel,HB74,YEA,S11,Republican
W. Westerfield,HB74,YEA,S3,Republican
R. Girdler,HB74,YEA,S15,Republican
C. McDaniel,HB74,YEA,S23,Republican
W. Schroder,HB74,YEA,S24,Republican
M. Wise,HB74,YEA,S16,Republican
D. Givens,HB74,YEA,S9,Republican
M. McGarvey,HB74,YEA,S19,Democratic
B. Smith,HB74,YEA,S30,Republican
J. Carroll,HB74,NV,S7,Democratic
M. Wilson,HB74,NV,S32,Republican
D. Seum,HB74,NV,S38,Republican
R. Alvarado,HB75,YEA,S28,Republican
D. Harper Angel,HB75,YEA,S35,Democratic
S. Meredith,HB75,YEA,S5,Republican
D. Thayer,HB75,YEA,S17,Republican
J. Bowen,HB75,YEA,S8,Republican
E. Harris,HB75,YEA,S26,Republican
G. Neal,HB75,YEA,S33,Democratic
R. Thomas,HB75,YEA,S13,Democratic
J. Carpenter,HB75,YEA,S34,Republican
J. Higdon,HB75,YEA,S14,Republican
D. Parrett,HB75,YEA,S10,Democratic
J. Turner,HB75,YEA,S29,Democratic
D. Carroll,HB75,YEA,S2,Republican
P. Hornback,HB75,YEA,S20,Republican
D. Ridley,HB75,YEA,S4,Democratic
R. Webb,HB75,YEA,S18,Democratic
J. Carroll,HB75,YEA,S7,Democratic
